Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,1e-06
1,0,B,2,1802,9.0
1,0,Q,3,4956,2.0
5,0,W,1,11221,7.0
5,0,B,2,2682,30.0
5,0,Q,3,5898,18.0
6,0,W,1,49538,1e-06
6,0,B,2,1302,10.0
6,0,Q,3,3524,1e-06
7,0,W,1,13334,5.0
7,0,B,2,3960,30.0
7,0,Q,3,18327,35.0
9,0,W,1,39999,74.0
9,0,B,2,5648,84.0
9,0,Q,3,17454,77.0
10,0,W,1,31997,4.0
10,0,B,2,4820,24.0
10,0,Q,3,9277,14.0
13,0,W,1,63810,67.0
13,0,B,2,4100,65.0
13,0,Q,3,10109,41.0
14,0,W,1,11702,24.0
14,0,B,2,1142,48.0
14,0,Q,3,2868,17.0
17,0,W,1,53084,6.0
17,0,B,2,1598,10.0
17,0,Q,3,4816,8.0
18,0,W,1,33211,2.0
18,0,B,2,2672,3.0
18,0,Q,3,9500,1e-06
19,0,W,1,163474,18.0
19,0,B,2,3924,69.0
19,0,Q,3,19507,34.0
20,0,W,1,77140,14.0
20,0,B,2,2998,21.0
20,0,Q,3,9595,11.0
22,2,W,1,0,1e-06
22,2,B,2,2,5.0
22,2,Q,3,1,1.0
23,1,W,1,12715,11.0
23,1,B,2,19647,99.0
23,1,Q,3,36005,79.0
24,0,W,1,60570,4.0
24,0,B,2,9305,33.0
24,0,Q,3,24615,17.0
25,1,W,1,5104,12.0
25,1,B,2,19980,202.0
25,1,Q,3,22971,43.0
26,1,W,1,18784,1.0
26,1,B,2,9775,40.0
26,1,Q,3,11024,14.0
28,2,W,1,11687,1e-06
28,2,B,2,27025,35.0
28,2,Q,3,11151,2.0
30,1,W,1,11231,4.0
30,1,B,2,16870,26.0
30,1,Q,3,33928,17.0
32,2,W,1,7203,3.0
32,2,B,2,48657,102.0
32,2,Q,3,20540,13.0
33,1,W,1,10490,1.0
33,1,B,2,9226,10.0
33,1,Q,3,60641,10.0
34,0,W,1,29629,6.0
34,0,B,2,6389,9.0
34,0,Q,3,86069,34.0
40,1,W,1,2009,12.0
40,1,B,2,28235,294.0
40,1,Q,3,65788,249.0
41,1,W,1,560,1e-06
41,1,B,2,13665,27.0
41,1,Q,3,40543,39.0
42,1,W,1,1038,3.0
42,1,B,2,33081,128.0
42,1,Q,3,54023,73.0
43,1,W,1,4600,1.0
43,1,B,2,54496,75.0
43,1,Q,3,105753,56.0
44,1,W,1,2566,2.0
44,1,B,2,43491,87.0
44,1,Q,3,98751,62.0
45,1,W,1,33804,7.0
45,1,B,2,28941,21.0
45,1,Q,3,51984,7.0
46,1,W,1,2012,1e-06
46,1,B,2,36517,22.0
46,1,Q,3,92234,16.0
47,2,W,1,10326,2.0
47,2,B,2,105125,108.0
47,2,Q,3,38929,38.0
48,1,W,1,6222,2.0
48,1,B,2,21436,15.0
48,1,Q,3,56606,6.0
49,1,W,1,27967,5.0
49,1,B,2,24675,28.0
49,1,Q,3,54941,22.0
50,1,W,1,36836,1.0
50,1,B,2,12240,3.0
50,1,Q,3,50023,5.0
52,1,W,1,8556,1.0
52,1,B,2,23029,14.0
52,1,Q,3,104972,12.0
60,1,W,1,57271,19.0
60,1,B,2,12695,36.0
60,1,Q,3,16433,10.0
61,0,W,1,109308,3.0
61,0,B,2,5990,10.0
61,0,Q,3,16826,1.0
62,0,W,1,83698,23.0
62,0,B,2,2005,4.0
62,0,Q,3,27801,8.0
63,2,W,1,44447,3.0
63,2,B,2,55800,14.0
63,2,Q,3,11411,1e-06
66,0,W,1,125890,21.0
66,0,B,2,4652,20.0
66,0,Q,3,25366,36.0
67,2,W,1,3947,1e-06
67,2,B,2,136830,90.0
67,2,Q,3,12184,1e-06
68,0,W,1,70217,5.0
68,0,B,2,2124,2.0
68,0,Q,3,20356,7.0
69,2,W,1,4325,1e-06
69,2,B,2,75795,57.0
69,2,Q,3,6045,5.0
70,1,W,1,62453,1e-06
70,1,B,2,51707,29.0
70,1,Q,3,25916,2.0
71,2,W,1,25312,1.0
71,2,B,2,65946,43.0
71,2,Q,3,9587,3.0
72,0,W,1,32153,1e-06
72,0,B,2,3238,1.0
72,0,Q,3,56731,8.0
73,2,W,1,2478,3.0
73,2,B,2,64828,96.0
73,2,Q,3,19348,16.0
75,2,W,1,6586,2.0
75,2,B,2,103494,139.0
75,2,Q,3,65445,26.0
76,1,W,1,28309,3.0
76,1,B,2,6350,18.0
76,1,Q,3,10784,8.0
77,2,W,1,19968,1e-06
77,2,B,2,53767,50.0
77,2,Q,3,11741,5.0
78,0,W,1,50245,1e-06
78,0,B,2,5449,7.0
78,0,Q,3,10593,2.0
79,2,W,1,23987,3.0
79,2,B,2,41019,168.0
79,2,Q,3,19630,24.0
81,2,W,1,8182,1.0
81,2,B,2,51129,44.0
81,2,Q,3,11618,7.0
83,1,W,1,19535,7.0
83,1,B,2,22278,38.0
83,1,Q,3,67865,43.0
84,1,W,1,34633,5.0
84,1,B,2,5831,50.0
84,1,Q,3,6452,16.0
88,1,W,1,20042,2.0
88,1,B,2,23683,31.0
88,1,Q,3,9379,9.0
90,0,W,1,69288,8.0
90,0,B,2,7765,41.0
90,0,Q,3,36833,33.0
94,0,W,1,45245,11.0
94,0,B,2,3013,6.0
94,0,Q,3,10021,1.0
100,1,W,1,26058,7.0
100,1,B,2,10360,18.0
100,1,Q,3,9359,2.0
101,2,W,1,16297,4.0
101,2,B,2,32853,58.0
101,2,Q,3,20652,6.0
102,0,W,1,27672,20.0
102,0,B,2,8719,25.0
102,0,Q,3,65478,81.0
103,1,W,1,2686,1e-06
103,1,B,2,44182,25.0
103,1,Q,3,28478,6.0
104,0,W,1,94554,32.0
104,0,B,2,2308,23.0
104,0,Q,3,66325,59.0
105,2,W,1,23439,13.0
105,2,B,2,113907,128.0
105,2,Q,3,25407,30.0
106,1,W,1,30366,28.0
106,1,B,2,20377,48.0
106,1,Q,3,35596,20.0
107,1,W,1,50515,26.0
107,1,B,2,18367,52.0
107,1,Q,3,32051,28.0
108,0,W,1,35650,1.0
108,0,B,2,1667,4.0
108,0,Q,3,41391,3.0
109,0,W,1,63642,18.0
109,0,B,2,5270,22.0
109,0,Q,3,43570,38.0
110,0,W,1,11229,5.0
110,0,B,2,11043,9.0
110,0,Q,3,86521,31.0
111,0,W,1,50020,12.0
111,0,B,2,2294,6.0
111,0,Q,3,13936,9.0
112,0,W,1,56706,11.0
112,0,B,2,3291,11.0
112,0,Q,3,18382,17.0
113,2,W,1,1448,1.0
113,2,B,2,106483,52.0
113,2,Q,3,12247,2.0
114,0,W,1,89519,18.0
114,0,B,2,17475,60.0
114,0,Q,3,51996,35.0
115,0,W,1,17738,4.0
115,0,B,2,8688,5.0
115,0,Q,3,107392,16.0
120,1,W,1,43985,6.0
120,1,B,2,24541,73.0
120,1,Q,3,31045,12.0
121,1,W,1,61488,14.0
121,1,B,2,14774,36.0
121,1,Q,3,28120,12.0
122,0,W,1,102714,17.0
122,0,B,2,4439,5.0
122,0,Q,3,17651,4.0
123,0,W,1,87329,53.0
123,0,B,2,846,7.0
123,0,Q,3,9724,5.0
