Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,1e-06
1,0,B,2,1802,1e-06
1,0,Q,3,4956,1e-06
5,0,W,1,11221,1.0
5,0,B,2,2682,1.0
5,0,Q,3,5898,1e-06
6,0,W,1,49538,1e-06
6,0,B,2,1302,1.0
6,0,Q,3,3524,1e-06
7,0,W,1,13334,2.0
7,0,B,2,3960,1.0
7,0,Q,3,18327,1.0
9,0,W,1,39999,3.0
9,0,B,2,5648,3.0
9,0,Q,3,17454,5.0
10,0,W,1,31997,1e-06
10,0,B,2,4820,1.0
10,0,Q,3,9277,1e-06
13,0,W,1,63810,55.0
13,0,B,2,4100,12.0
13,0,Q,3,10109,18.0
14,0,W,1,11702,11.0
14,0,B,2,1142,5.0
14,0,Q,3,2868,1.0
17,0,W,1,53084,5.0
17,0,B,2,1598,2.0
17,0,Q,3,4816,1.0
18,0,W,1,33211,1e-06
18,0,B,2,2672,1e-06
18,0,Q,3,9500,1e-06
19,0,W,1,163474,1e-06
19,0,B,2,3924,2.0
19,0,Q,3,19507,5.0
20,0,W,1,77140,1e-06
20,0,B,2,2998,1e-06
20,0,Q,3,9595,1e-06
23,1,W,1,12715,1e-06
23,1,B,2,19647,1.0
23,1,Q,3,36005,3.0
24,0,W,1,60570,1.0
24,0,B,2,9305,2.0
24,0,Q,3,24615,1.0
25,1,W,1,5104,1.0
25,1,B,2,19980,10.0
25,1,Q,3,22971,4.0
26,1,W,1,18784,1e-06
26,1,B,2,9775,1.0
26,1,Q,3,11024,1e-06
28,2,W,1,11687,1e-06
28,2,B,2,27025,1.0
28,2,Q,3,11151,1e-06
30,1,W,1,11231,2.0
30,1,B,2,16870,16.0
30,1,Q,3,33928,8.0
32,2,W,1,7203,1e-06
32,2,B,2,48657,5.0
32,2,Q,3,20540,1e-06
33,1,W,1,10490,1.0
33,1,B,2,9226,4.0
33,1,Q,3,60641,2.0
34,0,W,1,29629,1e-06
34,0,B,2,6389,1e-06
34,0,Q,3,86069,1e-06
40,1,W,1,2009,1e-06
40,1,B,2,28235,11.0
40,1,Q,3,65788,10.0
41,1,W,1,560,1e-06
41,1,B,2,13665,9.0
41,1,Q,3,40543,16.0
42,1,W,1,1038,1e-06
42,1,B,2,33081,12.0
42,1,Q,3,54023,6.0
43,1,W,1,4600,1e-06
43,1,B,2,54496,1e-06
43,1,Q,3,105753,1e-06
44,1,W,1,2566,2.0
44,1,B,2,43491,44.0
44,1,Q,3,98751,25.0
46,1,W,1,2012,1e-06
46,1,B,2,36517,6.0
46,1,Q,3,92234,6.0
47,2,W,1,10326,2.0
47,2,B,2,105125,11.0
47,2,Q,3,38929,3.0
48,1,W,1,6222,1e-06
48,1,B,2,21436,6.0
48,1,Q,3,56606,3.0
49,1,W,1,27967,1.0
49,1,B,2,24675,2.0
49,1,Q,3,54941,6.0
50,1,W,1,36836,1e-06
50,1,B,2,12240,1e-06
50,1,Q,3,50023,1e-06
52,1,W,1,8556,1e-06
52,1,B,2,23029,1e-06
52,1,Q,3,104972,1e-06
60,1,W,1,57271,1.0
60,1,B,2,12695,1.0
60,1,Q,3,16433,1e-06
61,0,W,1,109308,1e-06
61,0,B,2,5990,1e-06
61,0,Q,3,16826,1e-06
62,0,W,1,83698,1e-06
62,0,B,2,2005,1e-06
62,0,Q,3,27801,1.0
63,2,W,1,44447,1e-06
63,2,B,2,55800,1e-06
63,2,Q,3,11411,1e-06
66,0,W,1,125890,1.0
66,0,B,2,4652,1e-06
66,0,Q,3,25366,3.0
67,2,W,1,3947,1e-06
67,2,B,2,136830,2.0
67,2,Q,3,12184,1e-06
69,2,W,1,4325,1e-06
69,2,B,2,75795,6.0
69,2,Q,3,6045,1e-06
70,1,W,1,62453,1e-06
70,1,B,2,51707,6.0
70,1,Q,3,25916,1e-06
71,2,W,1,25312,1e-06
71,2,B,2,65946,5.0
71,2,Q,3,9587,1e-06
72,0,W,1,32153,1e-06
72,0,B,2,3238,1e-06
72,0,Q,3,56731,1e-06
73,2,W,1,2478,1e-06
73,2,B,2,64828,16.0
73,2,Q,3,19348,2.0
75,2,W,1,6586,1.0
75,2,B,2,103494,11.0
75,2,Q,3,65445,4.0
76,1,W,1,28309,1e-06
76,1,B,2,6350,1e-06
76,1,Q,3,10784,1e-06
77,2,W,1,19968,1e-06
77,2,B,2,53767,3.0
77,2,Q,3,11741,1e-06
78,0,W,1,50245,1e-06
78,0,B,2,5449,1e-06
78,0,Q,3,10593,1e-06
79,2,W,1,23987,1.0
79,2,B,2,41019,26.0
79,2,Q,3,19630,2.0
81,2,W,1,8182,1e-06
81,2,B,2,51129,14.0
81,2,Q,3,11618,1e-06
83,1,W,1,19535,1e-06
83,1,B,2,22278,1e-06
83,1,Q,3,67865,3.0
84,1,W,1,34633,1.0
84,1,B,2,5831,3.0
84,1,Q,3,6452,2.0
88,1,W,1,20042,1e-06
88,1,B,2,23683,4.0
88,1,Q,3,9379,1e-06
90,0,W,1,69288,1e-06
90,0,B,2,7765,5.0
90,0,Q,3,36833,1e-06
94,0,W,1,45245,3.0
94,0,B,2,3013,1e-06
94,0,Q,3,10021,1e-06
100,1,W,1,26058,1e-06
100,1,B,2,10360,7.0
100,1,Q,3,9359,1e-06
101,2,W,1,16297,1e-06
101,2,B,2,32853,10.0
101,2,Q,3,20652,1.0
102,0,W,1,27672,1.0
102,0,B,2,8719,3.0
102,0,Q,3,65478,14.0
103,1,W,1,2686,1e-06
103,1,B,2,44182,2.0
