Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,1
1,0,B,2,1802,9
1,0,Q,3,4956,2
5,0,W,1,11221,7
5,0,B,2,2682,30
5,0,Q,3,5898,18
6,0,W,1,49538,1
6,0,B,2,1302,10
6,0,Q,3,3524,1
7,0,W,1,13334,5
7,0,B,2,3960,30
7,0,Q,3,18327,35
9,0,W,1,39999,74
9,0,B,2,5648,84
9,0,Q,3,17454,77
10,0,W,1,31997,4
10,0,B,2,4820,24
10,0,Q,3,9277,14
13,0,W,1,63810,67
13,0,B,2,4100,65
13,0,Q,3,10109,41
14,0,W,1,11702,24
14,0,B,2,1142,48
14,0,Q,3,2868,17
17,0,W,1,53084,6
17,0,B,2,1598,10
17,0,Q,3,4816,8
18,0,W,1,33211,2
18,0,B,2,2672,3
18,0,Q,3,9500,1
19,0,W,1,163474,18
19,0,B,2,3924,69
19,0,Q,3,19507,34
20,0,W,1,77140,14
20,0,B,2,2998,21
20,0,Q,3,9595,11
22,2,W,1,0,1
22,2,B,2,2,5
22,2,Q,3,1,1
23,1,W,1,12715,11
23,1,B,2,19647,99
23,1,Q,3,36005,79
24,0,W,1,60570,4
24,0,B,2,9305,33
24,0,Q,3,24615,17
25,1,W,1,5104,12
25,1,B,2,19980,202
25,1,Q,3,22971,43
26,1,W,1,18784,1
26,1,B,2,9775,40
26,1,Q,3,11024,14
28,2,W,1,11687,1
28,2,B,2,27025,35
28,2,Q,3,11151,2
30,1,W,1,11231,4
30,1,B,2,16870,26
30,1,Q,3,33928,17
32,2,W,1,7203,3
32,2,B,2,48657,102
32,2,Q,3,20540,13
33,1,W,1,10490,1
33,1,B,2,9226,10
33,1,Q,3,60641,10
34,0,W,1,29629,6
34,0,B,2,6389,9
34,0,Q,3,86069,34
40,1,W,1,2009,12
40,1,B,2,28235,294
40,1,Q,3,65788,249
41,1,W,1,560,1
41,1,B,2,13665,27
41,1,Q,3,40543,39
42,1,W,1,1038,3
42,1,B,2,33081,128
42,1,Q,3,54023,73
43,1,W,1,4600,1
43,1,B,2,54496,75
43,1,Q,3,105753,56
44,1,W,1,2566,2
44,1,B,2,43491,87
44,1,Q,3,98751,62
45,1,W,1,33804,7
45,1,B,2,28941,21
45,1,Q,3,51984,7
46,1,W,1,2012,1
46,1,B,2,36517,22
46,1,Q,3,92234,16
47,2,W,1,10326,2
47,2,B,2,105125,108
47,2,Q,3,38929,38
48,1,W,1,6222,2
48,1,B,2,21436,15
48,1,Q,3,56606,6
49,1,W,1,27967,5
49,1,B,2,24675,28
49,1,Q,3,54941,22
50,1,W,1,36836,1
50,1,B,2,12240,3
50,1,Q,3,50023,5
52,1,W,1,8556,1
52,1,B,2,23029,14
52,1,Q,3,104972,12
60,1,W,1,57271,19
60,1,B,2,12695,36
60,1,Q,3,16433,10
61,0,W,1,109308,3
61,0,B,2,5990,10
61,0,Q,3,16826,1
62,0,W,1,83698,23
62,0,B,2,2005,4
62,0,Q,3,27801,8
63,2,W,1,44447,3
63,2,B,2,55800,14
63,2,Q,3,11411,1
66,0,W,1,125890,21
66,0,B,2,4652,20
66,0,Q,3,25366,36
67,2,W,1,3947,1
67,2,B,2,136830,90
67,2,Q,3,12184,1
68,0,W,1,70217,5
68,0,B,2,2124,2
68,0,Q,3,20356,7
69,2,W,1,4325,1
69,2,B,2,75795,57
69,2,Q,3,6045,5
70,1,W,1,62453,1
70,1,B,2,51707,29
70,1,Q,3,25916,2
71,2,W,1,25312,1
71,2,B,2,65946,43
71,2,Q,3,9587,3
72,0,W,1,32153,1
72,0,B,2,3238,1
72,0,Q,3,56731,8
73,2,W,1,2478,3
73,2,B,2,64828,96
73,2,Q,3,19348,16
75,2,W,1,6586,2
75,2,B,2,103494,139
75,2,Q,3,65445,26
76,1,W,1,28309,3
76,1,B,2,6350,18
76,1,Q,3,10784,8
77,2,W,1,19968,1
77,2,B,2,53767,50
77,2,Q,3,11741,5
78,0,W,1,50245,1
78,0,B,2,5449,7
78,0,Q,3,10593,2
79,2,W,1,23987,3
79,2,B,2,41019,168
79,2,Q,3,19630,24
81,2,W,1,8182,1
81,2,B,2,51129,44
81,2,Q,3,11618,7
83,1,W,1,19535,7
83,1,B,2,22278,38
83,1,Q,3,67865,43
84,1,W,1,34633,5
84,1,B,2,5831,50
84,1,Q,3,6452,16
88,1,W,1,20042,2
88,1,B,2,23683,31
88,1,Q,3,9379,9
90,0,W,1,69288,8
90,0,B,2,7765,41
90,0,Q,3,36833,33
94,0,W,1,45245,11
94,0,B,2,3013,6
94,0,Q,3,10021,1
100,1,W,1,26058,7
100,1,B,2,10360,18
100,1,Q,3,9359,2
101,2,W,1,16297,4
101,2,B,2,32853,58
101,2,Q,3,20652,6
102,0,W,1,27672,20
102,0,B,2,8719,25
102,0,Q,3,65478,81
103,1,W,1,2686,1
103,1,B,2,44182,25
103,1,Q,3,28478,6
104,0,W,1,94554,32
104,0,B,2,2308,23
104,0,Q,3,66325,59
105,2,W,1,23439,13
105,2,B,2,113907,128
105,2,Q,3,25407,30
106,1,W,1,30366,28
106,1,B,2,20377,48
106,1,Q,3,35596,20
107,1,W,1,50515,26
107,1,B,2,18367,52
107,1,Q,3,32051,28
108,0,W,1,35650,1
108,0,B,2,1667,4
108,0,Q,3,41391,3
109,0,W,1,63642,18
109,0,B,2,5270,22
109,0,Q,3,43570,38
110,0,W,1,11229,5
110,0,B,2,11043,9
110,0,Q,3,86521,31
111,0,W,1,50020,12
111,0,B,2,2294,6
111,0,Q,3,13936,9
112,0,W,1,56706,11
112,0,B,2,3291,11
112,0,Q,3,18382,17
113,2,W,1,1448,1
113,2,B,2,106483,52
113,2,Q,3,12247,2
114,0,W,1,89519,18
114,0,B,2,17475,60
114,0,Q,3,51996,35
115,0,W,1,17738,4
115,0,B,2,8688,5
115,0,Q,3,107392,16
120,1,W,1,43985,6
120,1,B,2,24541,73
120,1,Q,3,31045,12
121,1,W,1,61488,14
121,1,B,2,14774,36
121,1,Q,3,28120,12
122,0,W,1,102714,17
122,0,B,2,4439,5
122,0,Q,3,17651,4
123,0,W,1,87329,53
123,0,B,2,846,7
123,0,Q,3,9724,5
