Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,0
1,0,B,2,1802,0
1,0,Q,3,4956,0
5,0,W,1,11221,1
5,0,B,2,2682,1
5,0,Q,3,5898,0
6,0,W,1,49538,0
6,0,B,2,1302,1
6,0,Q,3,3524,0
7,0,W,1,13334,2
7,0,B,2,3960,1
7,0,Q,3,18327,1
9,0,W,1,39999,3
9,0,B,2,5648,3
9,0,Q,3,17454,5
10,0,W,1,31997,0
10,0,B,2,4820,1
10,0,Q,3,9277,0
13,0,W,1,63810,55
13,0,B,2,4100,12
13,0,Q,3,10109,18
14,0,W,1,11702,11
14,0,B,2,1142,5
14,0,Q,3,2868,1
17,0,W,1,53084,5
17,0,B,2,1598,2
17,0,Q,3,4816,1
18,0,W,1,33211,0
18,0,B,2,2672,0
18,0,Q,3,9500,0
19,0,W,1,163474,0
19,0,B,2,3924,2
19,0,Q,3,19507,5
20,0,W,1,77140,0
20,0,B,2,2998,0
20,0,Q,3,9595,0
23,1,W,1,12715,0
23,1,B,2,19647,1
23,1,Q,3,36005,3
24,0,W,1,60570,1
24,0,B,2,9305,2
24,0,Q,3,24615,1
25,1,W,1,5104,1
25,1,B,2,19980,10
25,1,Q,3,22971,4
26,1,W,1,18784,0
26,1,B,2,9775,1
26,1,Q,3,11024,0
28,2,W,1,11687,0
28,2,B,2,27025,1
28,2,Q,3,11151,0
30,1,W,1,11231,2
30,1,B,2,16870,16
30,1,Q,3,33928,8
32,2,W,1,7203,0
32,2,B,2,48657,5
32,2,Q,3,20540,0
33,1,W,1,10490,1
33,1,B,2,9226,4
33,1,Q,3,60641,2
34,0,W,1,29629,0
34,0,B,2,6389,0
34,0,Q,3,86069,0
40,1,W,1,2009,0
40,1,B,2,28235,11
40,1,Q,3,65788,10
41,1,W,1,560,0
41,1,B,2,13665,9
41,1,Q,3,40543,16
42,1,W,1,1038,0
42,1,B,2,33081,12
42,1,Q,3,54023,6
43,1,W,1,4600,0
43,1,B,2,54496,0
43,1,Q,3,105753,0
44,1,W,1,2566,2
44,1,B,2,43491,44
44,1,Q,3,98751,25
46,1,W,1,2012,0
46,1,B,2,36517,6
46,1,Q,3,92234,6
47,2,W,1,10326,2
47,2,B,2,105125,11
47,2,Q,3,38929,3
48,1,W,1,6222,0
48,1,B,2,21436,6
48,1,Q,3,56606,3
49,1,W,1,27967,1
49,1,B,2,24675,2
49,1,Q,3,54941,6
50,1,W,1,36836,0
50,1,B,2,12240,0
50,1,Q,3,50023,0
52,1,W,1,8556,0
52,1,B,2,23029,0
52,1,Q,3,104972,0
60,1,W,1,57271,1
60,1,B,2,12695,1
60,1,Q,3,16433,0
61,0,W,1,109308,0
61,0,B,2,5990,0
61,0,Q,3,16826,0
62,0,W,1,83698,0
62,0,B,2,2005,0
62,0,Q,3,27801,1
63,2,W,1,44447,0
63,2,B,2,55800,0
63,2,Q,3,11411,0
66,0,W,1,125890,1
66,0,B,2,4652,0
66,0,Q,3,25366,3
67,2,W,1,3947,0
67,2,B,2,136830,2
67,2,Q,3,12184,0
69,2,W,1,4325,0
69,2,B,2,75795,6
69,2,Q,3,6045,0
70,1,W,1,62453,0
70,1,B,2,51707,6
70,1,Q,3,25916,0
71,2,W,1,25312,0
71,2,B,2,65946,5
71,2,Q,3,9587,0
72,0,W,1,32153,0
72,0,B,2,3238,0
72,0,Q,3,56731,0
73,2,W,1,2478,0
73,2,B,2,64828,16
73,2,Q,3,19348,2
75,2,W,1,6586,1
75,2,B,2,103494,11
75,2,Q,3,65445,4
76,1,W,1,28309,0
76,1,B,2,6350,0
76,1,Q,3,10784,0
77,2,W,1,19968,0
77,2,B,2,53767,3
77,2,Q,3,11741,0
78,0,W,1,50245,0
78,0,B,2,5449,0
78,0,Q,3,10593,0
79,2,W,1,23987,1
79,2,B,2,41019,26
79,2,Q,3,19630,2
81,2,W,1,8182,0
81,2,B,2,51129,14
81,2,Q,3,11618,0
83,1,W,1,19535,0
83,1,B,2,22278,0
83,1,Q,3,67865,3
84,1,W,1,34633,1
84,1,B,2,5831,3
84,1,Q,3,6452,2
88,1,W,1,20042,0
88,1,B,2,23683,4
88,1,Q,3,9379,0
90,0,W,1,69288,0
90,0,B,2,7765,5
90,0,Q,3,36833,0
94,0,W,1,45245,3
94,0,B,2,3013,0
94,0,Q,3,10021,0
100,1,W,1,26058,0
100,1,B,2,10360,7
100,1,Q,3,9359,0
101,2,W,1,16297,0
101,2,B,2,32853,10
101,2,Q,3,20652,1
102,0,W,1,27672,1
102,0,B,2,8719,3
102,0,Q,3,65478,14
103,1,W,1,2686,0
103,1,B,2,44182,2
103,1,Q,3,28478,2
104,0,W,1,94554,3
104,0,B,2,2308,4
104,0,Q,3,66325,8
105,2,W,1,23439,0
105,2,B,2,113907,0
105,2,Q,3,25407,0
106,1,W,1,30366,0
106,1,B,2,20377,1
106,1,Q,3,35596,0
107,1,W,1,50515,9
107,1,B,2,18367,5
107,1,Q,3,32051,11
108,0,W,1,35650,0
108,0,B,2,1667,0
108,0,Q,3,41391,0
109,0,W,1,63642,1
109,0,B,2,5270,1
109,0,Q,3,43570,5
110,0,W,1,11229,0
110,0,B,2,11043,0
110,0,Q,3,86521,2
112,0,W,1,56706,0
112,0,B,2,3291,0
112,0,Q,3,18382,0
113,2,W,1,1448,0
113,2,B,2,106483,1
113,2,Q,3,12247,0
114,0,W,1,89519,4
114,0,B,2,17475,4
114,0,Q,3,51996,4
115,0,W,1,17738,0
115,0,B,2,8688,0
115,0,Q,3,107392,1
120,1,W,1,43985,1
120,1,B,2,24541,20
120,1,Q,3,31045,5
121,1,W,1,61488,3
121,1,B,2,14774,4
121,1,Q,3,28120,1
122,0,W,1,102714,2
122,0,B,2,4439,0
122,0,Q,3,17651,0
