Precinct,Ethnic_Comp_Cat,Race,Race_Int,Eth_Pop_In_Precinct,Occurrences
1,0,W,1,51658,1
1,0,B,2,1802,3
1,0,Q,3,4956,0
5,0,W,1,11221,8
5,0,B,2,2682,13
5,0,Q,3,5898,5
6,0,W,1,49538,0
6,0,B,2,1302,2
6,0,Q,3,3524,0
7,0,W,1,13334,0
7,0,B,2,3960,0
7,0,Q,3,18327,0
9,0,W,1,39999,1
9,0,B,2,5648,2
9,0,Q,3,17454,5
10,0,W,1,31997,0
10,0,B,2,4820,0
10,0,Q,3,9277,0
13,0,W,1,63810,2
13,0,B,2,4100,0
13,0,Q,3,10109,0
14,0,W,1,11702,0
14,0,B,2,1142,0
14,0,Q,3,2868,0
17,0,W,1,53084,0
17,0,B,2,1598,7
17,0,Q,3,4816,0
18,0,W,1,33211,1
18,0,B,2,2672,2
18,0,Q,3,9500,0
19,0,W,1,163474,0
19,0,B,2,3924,0
19,0,Q,3,19507,0
20,0,W,1,77140,1
20,0,B,2,2998,0
20,0,Q,3,9595,0
23,1,W,1,12715,2
23,1,B,2,19647,42
23,1,Q,3,36005,13
24,0,W,1,60570,2
24,0,B,2,9305,35
24,0,Q,3,24615,4
25,1,W,1,5104,2
25,1,B,2,19980,109
25,1,Q,3,22971,14
26,1,W,1,18784,0
26,1,B,2,9775,14
26,1,Q,3,11024,3
28,2,W,1,11687,0
28,2,B,2,27025,10
28,2,Q,3,11151,1
30,1,W,1,11231,1
30,1,B,2,16870,19
30,1,Q,3,33928,13
32,2,W,1,7203,1
32,2,B,2,48657,58
32,2,Q,3,20540,7
33,1,W,1,10490,0
33,1,B,2,9226,0
33,1,Q,3,60641,1
34,0,W,1,29629,0
34,0,B,2,6389,1
34,0,Q,3,86069,4
40,1,W,1,2009,1
40,1,B,2,28235,121
40,1,Q,3,65788,54
41,1,W,1,560,1
41,1,B,2,13665,103
41,1,Q,3,40543,101
42,1,W,1,1038,0
42,1,B,2,33081,81
42,1,Q,3,54023,24
43,1,W,1,4600,0
43,1,B,2,54496,13
43,1,Q,3,105753,3
44,1,W,1,2566,3
44,1,B,2,43491,141
44,1,Q,3,98751,85
46,1,W,1,2012,1
46,1,B,2,36517,78
46,1,Q,3,92234,24
47,2,W,1,10326,6
47,2,B,2,105125,155
47,2,Q,3,38929,18
48,1,W,1,6222,2
48,1,B,2,21436,22
48,1,Q,3,56606,13
49,1,W,1,27967,24
49,1,B,2,24675,104
49,1,Q,3,54941,81
50,1,W,1,36836,2
50,1,B,2,12240,3
50,1,Q,3,50023,10
52,1,W,1,8556,0
52,1,B,2,23029,5
52,1,Q,3,104972,7
60,1,W,1,57271,6
60,1,B,2,12695,35
60,1,Q,3,16433,11
61,0,W,1,109308,1
61,0,B,2,5990,11
61,0,Q,3,16826,1
62,0,W,1,83698,1
62,0,B,2,2005,0
62,0,Q,3,27801,0
63,2,W,1,44447,2
63,2,B,2,55800,16
63,2,Q,3,11411,1
66,0,W,1,125890,0
66,0,B,2,4652,14
66,0,Q,3,25366,6
67,2,W,1,3947,0
67,2,B,2,136830,35
67,2,Q,3,12184,0
69,2,W,1,4325,0
69,2,B,2,75795,24
69,2,Q,3,6045,0
70,1,W,1,62453,3
70,1,B,2,51707,96
70,1,Q,3,25916,11
71,2,W,1,25312,2
71,2,B,2,65946,43
71,2,Q,3,9587,0
72,0,W,1,32153,0
72,0,B,2,3238,2
72,0,Q,3,56731,0
73,2,W,1,2478,0
73,2,B,2,64828,38
73,2,Q,3,19348,5
75,2,W,1,6586,1
75,2,B,2,103494,202
75,2,Q,3,65445,39
76,1,W,1,28309,1
76,1,B,2,6350,6
76,1,Q,3,10784,1
77,2,W,1,19968,0
77,2,B,2,53767,21
77,2,Q,3,11741,0
78,0,W,1,50245,0
78,0,B,2,5449,11
78,0,Q,3,10593,3
79,2,W,1,23987,5
79,2,B,2,41019,301
79,2,Q,3,19630,23
81,2,W,1,8182,0
81,2,B,2,51129,62
81,2,Q,3,11618,1
83,1,W,1,19535,0
83,1,B,2,22278,1
83,1,Q,3,67865,1
84,1,W,1,34633,2
84,1,B,2,5831,34
84,1,Q,3,6452,9
88,1,W,1,20042,1
88,1,B,2,23683,18
88,1,Q,3,9379,1
90,0,W,1,69288,0
90,0,B,2,7765,8
90,0,Q,3,36833,5
94,0,W,1,45245,0
94,0,B,2,3013,0
94,0,Q,3,10021,0
100,1,W,1,26058,1
100,1,B,2,10360,6
100,1,Q,3,9359,1
101,2,W,1,16297,0
101,2,B,2,32853,14
101,2,Q,3,20652,2
102,0,W,1,27672,5
102,0,B,2,8719,10
102,0,Q,3,65478,22
103,1,W,1,2686,1
103,1,B,2,44182,7
103,1,Q,3,28478,1
104,0,W,1,94554,5
104,0,B,2,2308,4
104,0,Q,3,66325,5
105,2,W,1,23439,0
105,2,B,2,113907,1
105,2,Q,3,25407,0
106,1,W,1,30366,0
106,1,B,2,20377,2
106,1,Q,3,35596,2
107,1,W,1,50515,10
107,1,B,2,18367,12
107,1,Q,3,32051,6
108,0,W,1,35650,2
108,0,B,2,1667,2
108,0,Q,3,41391,0
109,0,W,1,63642,1
109,0,B,2,5270,11
109,0,Q,3,43570,14
110,0,W,1,11229,2
110,0,B,2,11043,4
110,0,Q,3,86521,17
112,0,W,1,56706,4
112,0,B,2,3291,1
112,0,Q,3,18382,0
113,2,W,1,1448,0
113,2,B,2,106483,6
113,2,Q,3,12247,2
114,0,W,1,89519,1
114,0,B,2,17475,10
114,0,Q,3,51996,0
115,0,W,1,17738,1
115,0,B,2,8688,3
115,0,Q,3,107392,24
120,1,W,1,43985,9
120,1,B,2,24541,131
120,1,Q,3,31045,18
121,1,W,1,61488,2
121,1,B,2,14774,9
121,1,Q,3,28120,0
122,0,W,1,102714,11
122,0,B,2,4439,8
122,0,Q,3,17651,6
