"","Precinct","Race","Race_Int","Eth_Pop_In_Precinct","Occurrences","Y_Pred_M3","Y_Pred_M4","Y_Pred_M5"
"1",1,"W",1,51658,1,1,0,3
"2",1,"B",2,1802,3,1,4,1
"3",1,"Q",3,4956,0,1,1,0
"4",5,"W",1,11221,8,6,8,8
"5",5,"B",2,2682,13,7,13,17
"6",5,"Q",3,5898,5,4,10,3
"7",6,"W",1,49538,0,0,1,1
"8",6,"B",2,1302,2,0,1,0
"9",6,"Q",3,3524,0,0,0,0
"10",7,"W",1,13334,0,0,0,0
"11",7,"B",2,3960,0,0,0,0
"12",7,"Q",3,18327,0,1,0,0
"13",9,"W",1,39999,1,1,1,2
"14",9,"B",2,5648,2,1,1,2
"15",9,"Q",3,17454,5,3,6,6
"16",10,"W",1,31997,0,0,0,0
"17",10,"B",2,4820,0,0,0,0
"18",10,"Q",3,9277,0,0,0,0
"19",13,"W",1,63810,2,3,1,0
"20",13,"B",2,4100,0,0,0,1
"21",13,"Q",3,10109,0,0,0,0
"22",14,"W",1,11702,0,0,0,0
"23",14,"B",2,1142,0,0,0,0
"24",14,"Q",3,2868,0,0,0,0
"25",17,"W",1,53084,0,0,0,0
"26",17,"B",2,1598,7,5,5,7
"27",17,"Q",3,4816,0,1,2,1
"28",18,"W",1,33211,1,0,2,0
"29",18,"B",2,2672,2,5,1,1
"30",18,"Q",3,9500,0,0,0,0
"31",19,"W",1,163474,0,0,1,0
"32",19,"B",2,3924,0,1,0,0
"33",19,"Q",3,19507,0,0,0,1
"34",20,"W",1,77140,1,0,0,0
"35",20,"B",2,2998,0,0,0,1
"36",20,"Q",3,9595,0,0,0,0
"40",24,"W",1,60570,2,5,2,5
"41",24,"B",2,9305,35,32,27,52
"42",24,"Q",3,24615,4,2,1,7
"61",34,"W",1,29629,0,0,0,1
"62",34,"B",2,6389,1,1,1,1
"63",34,"Q",3,86069,4,3,2,0
"100",61,"W",1,109308,1,1,3,3
"101",61,"B",2,5990,11,3,15,13
"102",61,"Q",3,16826,1,3,0,0
"103",62,"W",1,83698,1,0,0,2
"104",62,"B",2,2005,0,0,0,0
"105",62,"Q",3,27801,0,0,0,0
"109",66,"W",1,125890,0,1,3,1
"110",66,"B",2,4652,14,9,7,20
"111",66,"Q",3,25366,6,7,10,10
"124",72,"W",1,32153,0,0,0,1
"125",72,"B",2,3238,2,0,2,2
"126",72,"Q",3,56731,0,0,1,0
"139",78,"W",1,50245,0,0,2,2
"140",78,"B",2,5449,11,12,11,5
"141",78,"Q",3,10593,3,1,3,3
"157",90,"W",1,69288,0,0,1,0
"158",90,"B",2,7765,8,6,10,14
"159",90,"Q",3,36833,5,4,3,5
"160",94,"W",1,45245,0,0,0,0
"161",94,"B",2,3013,0,0,0,1
"162",94,"Q",3,10021,0,0,0,0
"169",102,"W",1,27672,5,3,4,4
"170",102,"B",2,8719,10,6,4,12
"171",102,"Q",3,65478,22,19,20,29
"175",104,"W",1,94554,5,2,4,5
"176",104,"B",2,2308,4,5,3,5
"177",104,"Q",3,66325,5,4,5,5
"187",108,"W",1,35650,2,0,1,2
"188",108,"B",2,1667,2,2,1,3
"189",108,"Q",3,41391,0,1,1,0
"190",109,"W",1,63642,1,1,0,1
"191",109,"B",2,5270,11,7,9,14
"192",109,"Q",3,43570,14,10,12,10
"193",110,"W",1,11229,2,2,3,0
"194",110,"B",2,11043,4,5,2,6
"195",110,"Q",3,86521,17,8,24,12
"196",112,"W",1,56706,4,2,0,4
"197",112,"B",2,3291,1,0,5,4
"198",112,"Q",3,18382,0,0,2,0
"202",114,"W",1,89519,1,1,1,2
"203",114,"B",2,17475,10,7,8,10
"204",114,"Q",3,51996,0,1,1,0
"205",115,"W",1,17738,1,1,0,1
"206",115,"B",2,8688,3,4,2,4
"207",115,"Q",3,107392,24,18,15,25
"214",122,"W",1,102714,11,8,17,18
"215",122,"B",2,4439,8,0,10,11
"216",122,"Q",3,17651,6,3,2,11
